"id","parent_id:id","name","type","sequence"
"F1",,"Features & Business Applications","view",0
"F429",,"Productivity, Ergonomy & Ease of Use","view",2
"F2","F1","After-Sales Services","view",10
"F3","F2","Repairs management","view",1
"F4","F3","Manages reception of defect products and deliveries ","criterion",1
"F5","F3","Manages reparation in the warehouse","criterion",1
"F6","F3","Manages repairs at customer location","criterion",1
"F7","F3","Automatic invoicing of raw materials and products","criterion",1
"F8","F3","Automatic invoicing of services or hours spent on repairs","criterion",1
"F9","F3","Traceability of all operations on the lot","criterion",1
"F10","F2","Waranties Management","view",1
"F11","F10","Waranties limit computation based on lots","criterion",1
"F12","F10","Automatic re-invoicing of products/services based on waranties","criterion",1
"F13","F2","Claims Management","view",1
"F14","F13","Integrates customers claims management","criterion",1
"F15","F13","Integrates suppliers claims management","criterion",1
"F16","F13","Support for corrective and preventive actions","criterion",1
"F17","F13","Traceability of the discussion and actions on the claim","criterion",1
"F18","F13","Attach claims to lots, products and partners","criterion",1
"F19","F13","Support for attached documents describing the problem","criterion",1
"F20","F2","Quality Management","view",1
"F21","F20","Integration of the quality manual","criterion",1
"F22","F20","Visual integration of company processes as graphs","criterion",1
"F23","F20","Support for corrective and preventive actions","criterion",1
"F24","F20","Support for alerts and warnings based on customizable criterions","criterion",1
"F25","F1","Manufacturing Management","view",6
"F26","F25","MRP I Features","view",1
"F27","F26","Multi-Level Bill of Materials support","criterion",1
"F28","F26","Make-to-Stock / Make-to-Order support","criterion",1
"F29","F26","Support for sales packs","criterion",1
"F30","F26","Support of substition of bill of materials","criterion",1
"F31","F26","Support for products of substitution","criterion",1
"F32","F26","Stock forecasts","criterion",1
"F949","F25","Batch Process","view",1
"F950","F949","Free batch format","criterion",1
"F951","F949","Define substitutes for parts of process","criterion",1
"F952","F949","Batch analysis for economical production","criterion",1
"F953","F949","Adjustment batches for region / country","criterion",1
"F954","F949","Batch Size and underlying ingredients can be adjusted","criterion",1
"F955","F949","Defining Down anticipated life","criterion",1
"F956","F25","Plant Maintance ","view",1
"F957","F956","create Maintainance order","criterion",1
"F958","F956","Preventive and breakdown maintainance","criterion",1
"F959","F25","Quality","view",1
"F960","F959","Management of defective material","criterion",1
"F961","F959","Quality in point per record in process","criterion",1
"F33","F25","MRP II Features","view",1
"F34","F33","Master Production Schedule","criterion",1
"F35","F33","Support for simulations of procurements","criterion",1
"F36","F25","Products Flexibility","view",1
"F37","F36","Multi-variants supports in product and BoM","criterion",1
"F38","F36","Multi unit of measures for the same product","criterion",1
"F39","F36","Product configurator in sales orders","criterion",1
"F40","F36","Product configurator in manufacturing orders","criterion",1
"F41","F25","Best-Practices","view",1
"F42","F41","Just-in-Time Support","criterion",1
"F43","F41","Bar code support on products and lots","criterion",1
"F44","F41","Bar code support for operations","criterion",1
"F45","F41","Kanban support with stock level computation per location","criterion",1
"F46","F41","Central point of management for all exceptions","criterion",1
"F47","F41","Management of assembly lines per location","criterion",1
"F48","F41","Real time detection of bottle necks","criterion",1
"F49","F25","Flexibility","view",1
"F50","F49","Ability to easily cancel any scheduled operation","criterion",1
"F51","F49","Ability to change all operations: product's quantities, routings, ...","criterion",1
"F52","F49","Reorganisation of proposed manufacturing orders and work orders","criterion",1
"F53","F49","Multiple plants management","criterion",1
"F54","F25","Lots management","view",1
"F55","F54","Bar code support for lots","criterion",1
"F56","F54","Lots on palets/boxes","criterion",1
"F57","F54","Lots number on manufactured products or raw materials","criterion",1
"F58","F54","Alerts and visibility on lots availability","criterion",1
"F59","F25","Reporting","view",1
"F60","F59","Margins analysis on sales, products, manufacuting orders and affairs","criterion",1
"F61","F59","Dynamic graphs on workcenter usage","criterion",1
"F62","F59","Dynamic graphs on products and stock evolution","criterion",1
"F63","F59","Dynamic graphs on stocks forecasts","criterion",1
"F64","F25","Integration","view",1
"F65","F64","Manufacuring simulations in quotations or sales orders","criterion",1
"F66","F64","Sub-contracting of work orders management","criterion",1
"F67","F64","Integration of services in manufacturing orders","criterion",1
"F68","F64","Alerts on stock levels by email","criterion",1
"F69","F25","Ergonomy and ease of use","view",1
"F70","F69","Gantt manipulation of manufacturing orders","criterion",1
"F71","F69","Gantt manipulation of work orders","criterion",1
"F72","F69","Support for Drag&Drop for priorities and routings","criterion",1
"F73","F429","Document Management System","view",1
"F74","F73","Classification of documents","view",1
"F75","F74","Ability to attach documents on any resource","criterion",1
"F76","F74","Classification of attached documents into folders","criterion",1
"F77","F74","Automatic classification according to templates","criterion",1
"F78","F74","Automatic attachment of printed reports","criterion",1
"F79","F73","Best Practices","view",1
"F80","F79","Version control system","criterion",1
"F81","F79","History of modifications","criterion",1
"F82","F79","Configurable rules to automatically process documents","criterion",1
"F83","F79","Automatic generation of documents based on configurable templates","criterion",1
"F84","F73","Accessibility of documents","view",1
"F85","F84","FTP access","criterion",1
"F86","F84","Webdav access","criterion",1
"F87","F84","Web interface to browse documents","criterion",1
"F88","F84","Customer or supplier interface to get documents","criterion",1
"F89","F84","Email integration for incoming documents","criterion",1
"F90","F73","Search of documents","view",1
"F91","F90","Automatic indexation of Microsoft Office files contents","criterion",1
"F92","F90","Automatic indexation of OpenOffice files contents","criterion",1
"F93","F90","Automatic indexation of PDF's files contents","criterion",1
"F94","F90","Automatic indexation of images content (OCR)","criterion",1
"F95","F90","Meta data support: project, account, user, status, version, ...","criterion",1
"F96","F90","Search on content, metadata","criterion",1
"F97","F73","Reporting","view",1
"F98","F97","Statistics on Document Management System usage","criterion",1
"F99","F97","Statistics on user's aceptability of the DMS","criterion",1
"F100","F73","Integration","view",1
"F101","F100","Customer or supplier portal to access and put documents","criterion",1
"F102","F100","Outlook integration to quickly add or get documents from application","criterion",1
"F103","F100","Single point of security management for DMS and ERP","criterion",1
"F104","F1","Purchase Management","view",5
"F105","F104","Automatic propositions of purchases","view",1
"F106","F105","Propositions based on 'Make to Order' requirements","criterion",1
"F107","F105","Propositions based on minimum stock rules","criterion",1
"F108","F105","Propositions based on manufacturing requirements","criterion",1
"F109","F105","Propositions based on Master Production Schedule","criterion",1
"F110","F105","Recurring purchase orders support","criterion",1
"F111","F104","Purchases facilities","view",1
"F112","F111","Support for Request for Quotations","criterion",1
"F113","F111","Open Purchase orders","criterion",1
"F114","F111","Ability to define alerts on products purchase","criterion",1
"F115","F111","Ability to define alerts on supplier purchase","criterion",1
"F946","F111","Contracts","criterion",1
"F947","F111","Quote Management per Item","criterion",1
"F948","F111","Repeat Purchases","criterion",1
"F116","F104","Best-Practices","view",1
"F117","F116","Just-in-Time Support","criterion",1
"F118","F116","ISO9001 Suppliers evaluation","criterion",1
"F119","F104","Purchases negotiation","view",1
"F120","F119","Auction with suppliers","criterion",1
"F121","F119","Purchase Tenders","criterion",1
"F945","F119","Product description by suppliers","criterion",1
"F122","F119","Public offers","criterion",1
"F123","F104","Reporting","view",1
"F124","F123","Visibility in the RfQ: stocks, latests prices, supplier quality","criterion",1
"F125","F123","Reports on suppliers purchases","criterion",1
"F126","F123","Reports on suppliers quality","criterion",1
"F127","F104","Prices Management","view",1
"F128","F127","Supplier's pricelists and promotion support","criterion",1
"F129","F127","Standard price support on products","criterion",1
"F130","F127","Average price support per product","criterion",1
"F131","F127","FIFO price support on products","criterion",1
"F132","F127","Sales prices can be automatically based on purchases prices","criterion",1
"F133","F127","End-of-year discount management","criterion",1
"F134","F104","Invoicing control","view",1
"F135","F134","Invoice control based on deliveries of products","criterion",1
"F136","F134","Invoice control based on deliveries of services","criterion",1
"F137","F134","Invoice control based on purchases","criterion",1
"F138","F134","Reconciliation process","criterion",1
"F139","F104","Supplier Portal on Web","view",1
"F140","F139","Ability to track requests for quotations","criterion",1
"F141","F139","Ability to put prices and/or confirm purchase orders","criterion",1
"F142","F139","Ability to confirm availabilities of products","criterion",1
"F143","F139","Ability to confirm delivery of products","criterion",1
"F144","F139","Ability to track invoices received and paid","criterion",1
"F145","F139","Ability to track received products","criterion",1
"F146","F1","Project Management","view",4
"F147","F146","Cross-project and project consolidation facilities","view",1
"F148","F147","Sub-project nesting for collaborative project hierarchal management","criterion",1
"F149","F147","Prioritisation and dependencies between projects","criterion",1
"F150","F147","Organisation of many project in one central place on web","criterion",1
"F151","F147","Real-time status on tasks achievement","criterion",1
"F152","F147","Template of projects and consolidation projects","criterion",1
"F153","F146","Project's Planning","view",1
"F154","F153","Long-term planning","criterion",1
"F155","F153","Short-term planning","criterion",1
"F156","F153","Calendar view of tasks and deadlines","criterion",1
"F157","F153","Gantt view of the plannings","criterion",1
"F158","F146","Tasks organisation","view",1
"F159","F158","Report to display a gantt chart on multiple projects","criterion",1
"F160","F158","Dynamic Gantt chart manipulation","criterion",1
"F161","F158","Dynamic Calendar of tasks","criterion",1
"F162","F158","Dynamic Perf chart manipulation","criterion",1
"F163","F146","Integration","view",1
"F164","F163","Integration between tasks and timesheets","criterion",1
"F165","F163","Creation of tasks based on sales orders","criterion",1
"F166","F163","Creation of tasks or projects based on manufacturing orders","criterion",1
"F167","F163","Integration with the enterprise calendar","criterion",1
"F168","F146","Thrid Party Integration","view",1
"F169","F168","Automatic sends of emails based on tasks events","criterion",1
"F170","F168","Automatic creation of tasks based on emails","criterion",1
"F171","F168","Document management to store information related to project","criterion",1
"F172","F168","Integration with Outlook and Thunderbird","criterion",1
"F173","F146","Methodologies","view",1
"F174","F173","SCRUM methodologies for IT companies","criterion",1
"F175","F173","Getting Things Done methodology","criterion",1
"F176","F146","Flexilibty","view",1
"F177","F176","Multi unit of measures: hour/day/week/month","criterion",1
"F178","F176","Reorganisation of projects'structure in real time","criterion",1
"F179","F176","Unlimited levels of project's structure","criterion",1
"F180","F146","Project's Financial integration","view",1
"F181","F180","Integration of projects with budgets","criterion",1
"F182","F180","Costs management including purchases, time of employee and expenses","criterion",1
"F183","F180","Financial indicators about profitability and invoicing","criterion",1
"F184","F180","Customers invoices forecasts based on projects","criterion",1
"F185","F180","Supplier costs forecasts based on projects","criterion",1
"F186","F146","Project's invoicing","view",1
"F187","F186","Automatic invoicing based on time spent","criterion",1
"F188","F186","Automatic invoicing on fixed-price put on tasks","criterion",1
"F189","F186","Re-invoicing on costs on projects","criterion",1
"F190","F186","Different rules for invoice price of costs, tasks or time","criterion",1
"F191","F146","Reporting","view",1
"F192","F191","Availability of graphs based on tasks","criterion",1
"F193","F191","Availability of graphs based on projects","criterion",1
"F194","F191","Dashboards for projects users","criterion",1
"F195","F191","Dashboards for projects managager","criterion",1
"F196","F191","Business Intelligence","criterion",1
"F197","F1","Warehouse Management","view",3
"F198","F197","Products Routes","view",1
"F199","F198","Manage long delays in product's routes (seas/oceans/ports)","criterion",1
"F200","F198","Manage product's route in the warehouse ","criterion",1
"F201","F198","Manage product's route in manufacturing chains","criterion",1
"F202","F198","Unlimitted number of locations for a warehouse","criterion",1
"F203","F198","Locations defined in a hierarchy structure, with unlimited nested levels","criterion",1
"F204","F197","Products","view",1
"F205","F204","Support for variants with one dimension","criterion",1
"F206","F204","Support for variants with multiple dimensions","criterion",1
"F207","F204","Visibility of real stock and future stocks in product's form","criterion",1
"F208","F197","Renting Products","view",1
"F209","F208","Manages products to be rent","criterion",1
"F210","F208","Planification of stock based on receptions of the product","criterion",1
"F211","F208","Manages stock at customer location","criterion",1
"F212","F197","Lots Management","view",1
"F213","F212","Support for production lots (per product)","criterion",1
"F214","F212","Support for logistic lots (on palets and boxes)","criterion",1
"F215","F212","Barcode support to encode and print lots labels","criterion",1
"F216","F197","Internal Moves","view",1
"F217","F216","Automatic propositions of internal pickings for manufacturing orders","criterion",1
"F218","F197","Barcode support","view",1
"F219","F218","Barcode support for pickings","criterion",1
"F220","F218","Barcode support for receptions","criterion",1
"F221","F218","Barcode support for manufacturing orders","criterion",1
"F222","F218","Barcode support for workcenters to track events","criterion",1
"F223","F197","Warehouse Organisation","view",1
"F224","F223","Capacity management per location and product","criterion",1
"F225","F223","Graphical representation of zones according to products usage","criterion",1
"F226","F223","Builtin interface with automated racks","criterion",1
"F227","F197","Periodical Inventories","view",1
"F228","F227","Allows to continue working on products when doing an inventory","criterion",1
"F229","F227","Allows to post inventory entries in the past","criterion",1
"F230","F227","Support for total and partial inventories","criterion",1
"F231","F227","Computation of latest dates of inventories for rounding inventories","criterion",1
"F232","F197","Traceability","view",1
"F233","F232","Traceability on manufactured lots (on products)","criterion",1
"F234","F232","Traceability on logistic units (on palets/boxes)","criterion",1
"F235","F232","Graphical upstream traceability graph or tree","criterion",1
"F236","F232","Graphical downstream traceability graph or tree","criterion",1
"F237","F232","Tracebility up to the customer or supplier locations","criterion",1
"F238","F1","Point of Sale","view",11
"F239","F238","Touchscreen interface","criterion",1
"F962","F238","centralize access of data","criterion",1
"F963","F238","Integration with main module","criterion",1
"F964","F238","integrate with third party peripherals","criterion",1
"F965","F238","Easy to use interface","criterion",1
"F966","F238","Autometic generation of account entreis","criterion",1
"F967","F238","Tax facility","criterion",1
"F968","F238","Multiple payment option","criterion",1
"F969","F238","capable to print receipts","criterion",1
"F970","F238","Updated physical inventory details","criterion",1
"F971","F238","sale order creation","criterion",1
"F972","F238","Product image available","criterion",1
"F973","F238","Able to send email and sms to customer","criterion",1
"F974","F238","Reports ","view",1
"F975","F974","able to print receipts","criterion",1
"F976","F974","Graphical view of sales ","criterion",1
"F977","F974","Able to print summary reports","criterion",1
"F978","F238","Point of Sale Security","view",1
"F979","F978","Secure the access of POS","criterion",1
"F980","F978","Manage users and profile","criterion",1
"F981","F978","Only authenticate user can access information","criterion",1
"F240","F1","Sales Management","view",2
"F241","F1","Direct Marketing","view",12
"F242","F241","Offers management","view",1
"F243","F242","Ability to define re-useable campaigns","criterion",1
"F244","F241","Campaign management","view",1
"F245","F241","Paper based campaigns","view",1
"F246","F245","Complex layouts of mailings designed using Ms. or OpenOffice","criterion",1
"F247","F245","Mass mailing merging and routing","criterion",1
"F248","F245","Barcode support for fast encoding of orders","criterion",1
"F249","F245","PDF generation of the mailings","criterion",1
"F250","F241","Email based campaigns","view",1
"F251","F250","Email composition using HTML","criterion",1
"F252","F250","Ability to add trackers in emails for reporting","criterion",1
"F253","F250","Ability to add trackers on links provided in the email","criterion",1
"F254","F241","SMS based campaigns","view",1
"F255","F254","Connection available to an SMS gateway","criterion",1
"F256","F241","Segmentations","view",1
"F257","F256","Tools for automatic segmentations of customers or prospects","criterion",1
"F258","F256","Statistics reports on return answers per segments","criterion",1
"F259","F1","Accounting & Financial Management","view",0
"F260","F259","Fast encoding of entries","view",1
"F261","F260","Full keyboard support","criterion",1
"F262","F260","Encoding by entries and entries lines","criterion",1
"F263","F260","Bank statement encoding facilities","criterion",1
"F264","F260","Number of keys to encode an invoice entry","criterion",1
"F265","F260","Automatic computation of taxes and analytic entries","criterion",1
"F266","F259","Budgets","view",1
"F267","F266","Consolidations and views by departments, project or budget","criterion",1
"F268","F266","Integration to analytic accounting","criterion",1
"F269","F259","Payment Management","view",1
"F270","F259","Treasury Management","view",1
"F271","F259","Assets Management","view",1
"F273","F259","Bank Statements","view",1
"F274","F1","Analytic accounting","view",1
"F275","F1","Human Ressources","view",8
"F276","F275","Payroll Management","view",1
"F277","F275","Expenses Tracking","view",1
"F278","F275","Skills Management","view",1
"F279","F275","Holidays & Leaves","view",1
"F280","F275","Attendances","view",1
"F281","F1","CRM & SRM","view",9
"F282","F281","Accounts management (customers/partners)","view",1
"F283","F282","Prospects management and conversion to customers","criterion",1
"F284","F282","Multiple relations between enterprises (accounts) and contacts (m/n)","criterion",1
"F285","F282","Automatic segmentations of accounts","criterion",1
"F286","F282","Integration with phone central (VOIP)","criterion",1
"F287","F281","Leads management","view",1
"F288","F287","Automatic creation of leads based on a website form","criterion",1
"F289","F287","Automatic creation of leads based on incoming email","criterion",1
"F290","F287","Creation of accounts and opportunities based on leads","criterion",1
"F291","F287","Wizard to simplify mass importation of prospects","criterion",1
"F292","F281","Opportunities Management","view",1
"F293","F292","Create quotations or sales based on opportunities","criterion",1
"F294","F292","Ability to customize screens according to the business","criterion",1
"F295","F292","Ability to integrate opportunities and actions on the calendar","criterion",1
"F296","F281","Phone Center Management","view",1
"F297","F281","Email Integration","view",1
"F298","F281","Marketing Campaigns Management","view",1
"F299","F298","Integration with Ms. Word for mass mailing preparation","criterion",1
"F300","F298","Integration with OpenOffice for mass mailing preparation","criterion",1
"F301","F298","Segmentation tools for accounts","criterion",1
"F302","F281","Integrated Webmail","view",1
"F303","F302","Support for IMAP","criterion",1
"F304","F302","Support for POP","criterion",1
"F305","F302","Search, rules, hyerarchical folders","criterion",1
"F306","F302","Ergonomy: drag&drop, ajax enabled","criterion",1
"F307","F302","Customizable screens for business logic","criterion",1
"F308","F281","Integrations","view",1
"F309","F308","Integration with Outlook for mails and contacts synchronisation","criterion",1
"F310","F308","Integration with Thunderbird for mails and contacts synchronisation","criterion",1
"F311","F308","Web portal","criterion",1
"F312","F281","Ergonomy","view",1
"F313","F312","Drag & Drop in the calendar of events","criterion",1
"F314","F312","Calendar per day,week,month,year","criterion",1
"F315","F312","Drag and drop between opportunities for prioritization","criterion",1
"F316","F312","Accessibility of all information in forms","criterion",1
"F317","F281","Portails","view",1
"F318","F317","Others features","view",1
"F319","F318","Association Management","view",1
"F320","F319","Membership management","criterion",1
"F321","F319","Events Organisation","criterion",1
"F322","F319","Fund Raising","criterion",1
"F323","F318","Public","criterion",1
"F324","F318","Network Management","criterion",1
"F330","F429","Customer & Supplier Portal","view",1
"F332","F429","Ergonomy","view",1
"F333","F332","Web Interface on all features","view",1
"F334","F333","Support for drag & drop","criterion",1
"F335","F333","Configurable Dashboards","criterion",1
"F336","F333","Customizable templates","criterion",1
"F337","F332","Rich Interface on all features","view",1
"F338","F337","Support for drag & drop","criterion",1
"F339","F337","Configurable Dashboards","criterion",1
"F340","F337","Customizable templates","criterion",1
"F341","F332","Dashboards","view",1
"F342","F341","Graphs, calendar and lists support in dashboards","criterion",1
"F343","F341","Filter on graphs","criterion",1
"F344","F341","Graphs clickable on each axis","criterion",1
"F345","F341","Customizable dashboards per user","criterion",1
"F346","F332","Calendars","view",1
"F347","F346","On all ressources: manufacturing orders, event, meeting, deliveries, ...","criterion",1
"F348","F346","Drag & Drop of events","criterion",1
"F349","F346","Filter on calendars","criterion",1
"F350","F332","Gant Views","view",1
"F351","F350","Gantt view on all ressources","criterion",1
"F352","F350","Drag & Drop for planification","criterion",1
"F353","F350","Consilidation of resources per usage","criterion",1
"F354","F429","Productivity","view",1
"F355","F354","Presentation of data in the screen","view",1
"F356","F355","Only one screen to encode a sale order and all related data","criterion",1
"F357","F429","Information visibility","view",1
"F358","F357","Easy switch between list, form view","criterion",1
"F359","F357","Easy switch to Business Intelligence interface","criterion",1
"F360","F357","Easy switch to graphs","criterion",1
"F361","F357","Easy switch to gantt or calendar views","criterion",1
"F362","F354","Fast encoding of entries","view",1
"F363","F362","Support for encoding in list views like Ms. Excel","criterion",1
"F364","F362","Less than 10 keys to encode accounting entries with 3 lines","criterion",1
"F365","F362","Less than 15 keys to encode accounting entries with 3 lines","criterion",1
"F366","F362","Less than 20 keys to encode accounting entries with 3 lines","criterion",1
"F367","F362","Less than 25 keys to encode accounting entries with 3 lines","criterion",1
"F368","F362","Full keyboard support (no mouse)","criterion",1
"F369","F354","Integration with Microsoft Office","criterion",1
"F370","F354","Integration with OpenOffice","criterion",1
"F371","F354","Integration with Mail Client","criterion",1
"F372","F354","Integrated Webmail","criterion",1
"F373","F429","Ease of use","view",1
"F374","F373","Fast Learning Curve","view",1
"F375","F374","Official editor's trainings for sale/purchase/mrp/stock <3 days","criterion",1
"F376","F374","Official editor's trainings for sale/purchase/mrp/stock <10 days","criterion",1
"F377","F374","Official editor's trainings for sale/purchase/mrp/stock <20 days","criterion",1
"F378","F374","It exists companies that integrated the software by themselves","criterion",1
"F379","F373","Documentation accessibility","view",1
"F380","F379","Tooltips on all fields","criterion",1
"F381","F379","Contextual documentation on all screens","criterion",1
"F382","F379","Technical documentation on all tables/objects","criterion",1
"F383","F379","Graphical process on every screen","criterion",1
"F384","F373","Documentation availability","view",1
"F385","F384","Online and free book for documentation (>500 pages)","criterion",1
"F386","F384","Online and free book for documentation (>150 pages)","criterion",1
"F387","F384","Online and free learning screencasts (>20 hours)","criterion",1
"F388","F384","Online and free learning screencasts (>5 hours)","criterion",1
"F389","F384","Availability of paper books in book stores","criterion",1
"F390","F384","Availability of documentations for end-users","criterion",1
"F391","F384","Availability of documentations for integrators","criterion",1
"F392","F384","Availability of documentations for developers","criterion",1
"F393","F384","Automatic technical documentation of custom modules","criterion",1
"F394","F373","Services suppliers","criterion",1
"F395","F373","Ease of Installation","view",1
"F396","F395","Installation <1 day for novices","criterion",1
"F397","F395","Installation <1 day for experts","criterion",1
"F398","F395","Configuration wizards at the installation of the software","criterion",1
"F399","F395","Configuration wizards at the installation of new modules","criterion",1
"F400",,"Customisations & Flexibility","view",3
"F401","F400","Technical Workflow Editor","view",1
"F402","F401","Support for workflows on all resources","criterion",1
"F403","F401","Editable workflows","criterion",1
"F404","F401","Graphical workflow editor","criterion",1
"F405","F401","Configuration of all nodes and activities","criterion",1
"F406","F401","Workflows compatibility with WfMC","criterion",1
"F407","F400","Screen Designer","view",1
"F408","F407","Editable menu structure","criterion",1
"F409","F407","Ability to add fields anywhere on any screen","criterion",1
"F410","F407","Ability to modify the layout of any screen","criterion",1
"F411","F407","Ability to add HTML in views","criterion",1
"F413","F400","Report Designer","view",1
"F414","F400","Statistics Report Designer","view",1
"F415","F400","Business Intelligence","view",1
"F416","F400","Objects Designer","view",1
"F417","F416","Ability to create new fields","criterion",1
"F418","F416","Ability to create new tables","criterion",1
"F419","F416","Ability to design new actions without development","criterion",1
"F420","F400","Customizable actions","view",1
"F421","F400","Customizable documentation","view",1
"F422","F421","Editable tooltips on fields","criterion",1
"F423","F421","Customizable user documentation","criterion",1
"F424","F421","Customizable end-users processes","criterion",1
"F425","F400","Modularity","view",1
"F426","F425","Package any modification as a module/addons/plugin","criterion",1
"F427","F425","Reuse existing configuration easily","criterion",1
"F428","F425","Ability to distribute existing configuration","criterion",1
"F430","F429","Accessibility","view",1
"F431","F430","Public resources and communities","view",1
"F432","F431","Public bug tracker","criterion",1
"F433","F431","Official forum","criterion",1
"F433b","F431","Official IRC channel","criterion",1
"F434","F431","Official wiki for documentations","criterion",1
"F435","F431","Official repository of sources","criterion",1
"F443","F430","Availability of Books","view",1
"F444","F443","Books on technical architecture","criterion",1
"F445","F443","Books on functionnal aspects","criterion",1
"F446","F443","Books on customer experiences","criterion",1
"F447","F430","Availability of main source codes and extra features","view",1
"F448","F447","Availability of source codes","criterion",1
"F449","F447","Availability of extra features (plugins, modules, addons)","criterion",1
"F450","F447","Open Source codes","criterion",1
"F451",,"Total Cost of Ownership","view",5
"F452","F451","Licences","view",1
"F453","F452","Open Source Licences","view",1
"F454","F453","Availability of an Open Source licence","criterion",1
"F455","F453","90% of modules or features are under an Open Source licence","criterion",1
"F456","F453","All modules or features are under an Open Source licence","criterion",1
"F457","F452","Cost of Licences","view",1
"F458","F457","Licences are free (0 $)","criterion",1
"F459","F457","Avarage licence cost <500$ per user and per year","criterion",1
"F460","F457","Avarage licence cost <5000$ per user and per year","criterion",1
"F461","F457","Avarage licence cost <1000$ per user and per year","criterion",1
"F462","F451","SaaS offer (sometimes called On Demand)","view",1
"F463","F462","Availability of a SaaS offer","criterion",1
"F464","F462","A fixed price for: software, support, maintenance, hosting","criterion",1
"F465","F462","Zero integration costs for the SaaS offer","criterion",1
"F466","F462","Purchase online and get directly an access","criterion",1
"F467","F462","Availability of a free trial version","criterion",1
"F468","F451","Cost of customizations","view",1
"F469","F468","You don't need a specific licence to customize screens","criterion",1
"F470","F468","Ability to customize screens without development","criterion",1
"F471","F468","Ability to customize logic without development","criterion",1
"F472","F468","Ability to customize layout of reports without development","criterion",1
"F473","F468","Ability to customize/add statistical reports without development","criterion",1
"F474","F468","Integrated business intelligence to define end-users reports","criterion",1
"F475","F468","Interface to others application using web-services","criterion",1
"F476","F451","Cost of data importation","view",1
"F477","F476","Ability to import .CSV files from the client side","criterion",1
"F478","F476","Ability to import .XML files from the client side","criterion",1
"F479","F476","Ability to manages ID from original software to re-create relation","criterion",1
"F482",,"Technical Quality","view",4
"F985","F482","Technical","view",1
"F986","F985","coding are done from client side so no load on server side","criterion",1
"F987","F985","Table creation done using GUI wizard","criterion",1
"F988","F985","Form creation done using GUI wizard","criterion",1
"F989","F985","Codeunit are defined seprately so can be resuable","criterion",1
"F990","F985","Different Menusuites can defined for same system","criterion",2
"F991","F985","Version of each object defined","criterion",3
"F992","F985","Uses CAL Programming language","criterion",4
"F483","F482","Database flexibility","view",1
"F484","F483","Support for an Open Source database","criterion",1
"F485","F483","Multi-Database support","criterion",1
"F486","F483","Ability to add rows from the interface","criterion",1
"F487","F483","Ability to add tables from the interface","criterion",1
"F488","F483","Ability to define objects from the interface","criterion",1
"F489","F482","Object Oriented system","view",1
"F490","F489","Ability to add methods on objects from inheritance","criterion",1
"F491","F489","The model is defined through objects, not flat data","criterion",1
"F492","F489","Support for computed fields (properties method on object)","criterion",1
"F493","F482","Language","view",1
"F494","F493","Fully object oriented language support","criterion",1
"F495","F493","Scripting language support","criterion",1
"F496","F493","Based on an Open Source language","criterion",1
"F497","F493","Based on a very popular language (Java, .NET, C#)","criterion",1
"F497_1","F493","Based on a popular language (Python, C++)","criterion",1
"F498","F482","Modularity","view",1
"F499","F498","Ability to package modifications as separate modules or plugins","criterion",1
"F500","F498","Sales/purchases/project/stock mgt. are distinct modules","criterion",1
"F501","F498","Integrated Object Relational Mapping system","criterion",1
"F502","F400","Customisations without development","view",1
"F503","F482","Screen Definition","view",1
"F505","F482","Workflows Management","view",1
"F507","F482","Report Engines","view",1
"F508","F482","Statistics Report Engines","view",1
"F509","F451","Maintenance Costs","view",10
"F510","F509","Availability of a fixed price maintenance contract","criterion",1
"F511","F509","Unlimited bugfixes guarantee in the maintenance contract","criterion",1
"F512","F509","Migrations included in the maintenance contract","criterion",1
"F513","F509","A 3 years compatibility guarantee","criterion",1
"F514","F509","A 5 years compatibility guarantee","criterion",1
"F515","F451","Migration system and offers","view",5
"F516","F515","Migration system for major new versions","view",1
